Municipio		Superficie		Autonomía		CP		Provincia		CPJ		Partido_Judicial
Alegría-Dulantzi		19,95		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Amurrio		96,36		País Vasco		01		Araba/Álava		0101		Amurrio
Aramaio		73,27		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Artziniega		27,45		País Vasco		01		Araba/Álava		0101		Amurrio
Armiñón		12,94		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Arrazua-Ubarrundia		57,41		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Asparrena		65,18		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Ayala/Aiara		140,85		País Vasco		01		Araba/Álava		0101		Amurrio
Baños de Ebro/Mañueta		9,46		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Barrundia		97,43		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Berantevilla		35,73		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Bernedo		130,44		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Campezo/Kanpezu		85,02		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Zigoitia		102,07		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Kripan		12,52		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Kuartango		84,39		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Elburgo/Burgelu		32,09		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Elciego		16,32		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Elvillar/Bilar		17,50		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Iruraiz-Gauna		47,13		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Labastida/Bastida		38,17		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Lagrán		45,62		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Laguardia		81,08		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Lanciego/Lantziego		24,20		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Lapuebla de Labarca		5,99		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Leza		9,92		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Laudio/Llodio		37,56		País Vasco		01		Araba/Álava		0101		Amurrio
Arraia-Maeztu		123,11		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Moreda de Álava/Moreda Araba		8,67		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Navaridas		8,92		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Okondo		29,90		País Vasco		01		Araba/Álava		0101		Amurrio
Oyón-Oion		45,18		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Peñacerrada-Urizaharra		62,18		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Erriberagoitia/Ribera Alta		119,78		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Ribera Baja/Erribera Beitia		25,36		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Añana		21,92		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Salvatierra/Agurain		37,77		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Samaniego		10,64		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
San Millán/Donemiliaga		85,41		País Vasco		01		Araba/Álava		0102		Vitoria-Gasteiz
Urkabustaiz		60,49		País Vasco		01		Araba/Álava		0101		Amurrio
Valdegovía/Gaubea		238,27		País Vasco		01		Araba/Álava		0101		Amurrio
