codine	Municipio	Superficie	Capitalidad	Año	CA	Autonomía	CP	Provincia	CPJ	Partido_Judicial
01001	Alegría-Dulantzi	19,95	Alegría-Dulantzi		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01002	Amurrio	96,36	Amurrio		16	País Vasco	01	Araba/Álava	0101	Amurrio
01003	Aramaio	73,27	Ibarra		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01004	Artziniega	27,45	Artziniega		16	País Vasco	01	Araba/Álava	0101	Amurrio
01006	Armiñón	12,94	Armiñón		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01008	Arrazua-Ubarrundia	57,41	Durana		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01009	Asparrena	65,18	Araia		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01010	Ayala/Aiara	140,85	Arespalditza/Respaldiza		16	País Vasco	01	Araba/Álava	0101	Amurrio
01011	Baños de Ebro/Mañueta	9,46	Baños de Ebro/Mañueta		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01013	Barrundia	97,43	Ozaeta		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01014	Berantevilla	35,73	Berantevilla		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01016	Bernedo	130,44	Bernedo		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01017	Campezo/Kanpezu	85,02	Santa Cruz de Campezo/Santikurutze Kanpezu		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01018	Zigoitia	102,07	Gopegi		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01019	Kripan	12,52	Kripan		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01020	Kuartango	84,39	Zuhatzu-Kuartango		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01021	Elburgo/Burgelu	32,09	Elburgo/Burgelu		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01022	Elciego	16,32	Elciego		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01023	Elvillar/Bilar	17,50	Elvillar/Bilar		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01027	Iruraiz-Gauna	47,13	Azilu		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01028	Labastida/Bastida	38,17	Labastida/Bastida		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01030	Lagrán	45,62	Lagran		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01031	Laguardia	81,08	Laguardia/Biasteri		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01032	Lanciego/Lantziego	24,20	Lanciego/Lantziego		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01033	Lapuebla de Labarca	5,99	Puebla de Labarca, La/Lapuebla Labarka		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01034	Leza	9,92	Leza		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01036	Laudio/Llodio	37,56	Laudio/Llodio		16	País Vasco	01	Araba/Álava	0101	Amurrio
01037	Arraia-Maeztu	123,11	Maeztu/Maestu		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01039	Moreda de Álava/Moreda Araba	8,67	Moreda de Álava/Moreda Araba		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01041	Navaridas	8,92	Navaridas		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01042	Okondo	29,90	Eskauriatza		16	País Vasco	01	Araba/Álava	0101	Amurrio
01043	Oyón-Oion	45,18	Oion		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01044	Peñacerrada-Urizaharra	62,18	Peñacerrada/Urizaharra		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01046	Erriberagoitia/Ribera Alta	119,78	Pobes		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01047	Ribera Baja/Erribera Beitia	25,36	Rivabellosa		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01049	Añana	21,92	Salinas de Añana/Gesaltza Añana		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01051	Salvatierra/Agurain	37,77	Salvatierra/Agurain		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01052	Samaniego	10,64	Samaniego		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01053	San Millán/Donemiliaga	85,41	Ordoñana/Erdoñana		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01054	Urkabustaiz	60,49	Izarra		16	País Vasco	01	Araba/Álava	0101	Amurrio
01055	Valdegovía/Gaubea	238,27	Villanueva de Valdegovía		16	País Vasco	01	Araba/Álava	0101	Amurrio
01056	Harana/Valle de Arana	39,12	Alda		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01057	Villabuena de Álava/Eskuernaga	8,48	Villabuena de Álava/Eskuernaga		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01058	Legutio	45,85	Legutio		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01059	Vitoria-Gasteiz	276,81	Vitoria-Gasteiz		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01060	Yécora/Iekora	18,80	Yécora/Iekora		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01061	Zalduondo	12,03	Zalduondo		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01062	Zambrana	39,51	Zambrana		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01063	Zuia	122,49	Murgia		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01901	Iruña Oka/Iruña de Oca	53,25	Nanclares de la Oca/Langraiz Oka		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
01902	Lantarón	67,49	Comunión/Komunioi		16	País Vasco	01	Araba/Álava	0102	Vitoria-Gasteiz
02001	Abengibre	30,77	Abengibre		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02002	Alatoz	63,86	Alatoz		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02003	Albacete	1125,91	Albacete		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02004	Albatana	30,52	Albatana		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02005	Alborea	72,05	Alborea		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02006	Alcadozo	99,58	Alcadozo		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02007	Alcalá del Júcar	146,82	Alcalá del Júcar		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02008	Alcaraz	370,53	Alcaraz		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02009	Almansa	531,91	Almansa		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02010	Alpera	178,47	Alpera		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02011	Ayna	146,81	Ayna		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02012	Balazote	65,15	Balazote		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02013	Balsa de Ves	76,35	Balsa de Ves		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02014	Ballestero, El	138,69	Ballestero, El		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02015	Barrax	189,86	Barrax		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02016	Bienservida	90,73	Bienservida		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02017	Bogarra	166,01	Bogarra		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02018	Bonete	125,06	Bonete		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02019	Bonillo, El	502,66	Bonillo, El		08	Castilla-La Mancha	02	Albacete	0206	Villarrobledo
02020	Carcelén	75,36	Carcelén		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02021	Casas de Juan Núñez	88,98	Casas de Juan Núñez		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02022	Casas de Lázaro	112,32	Casas de Lázaro		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02023	Casas de Ves	125,09	Casas de Ves		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02024	Casas-Ibáñez	103,22	Casas-Ibáñez		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02025	Caudete	141,61	Caudete		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02026	Cenizate	63,26	Cenizate		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02027	Corral-Rubio	94,76	Corral-Rubio		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02028	Cotillas	14,47	Cotillas		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02029	Chinchilla de Monte-Aragón	680,02	Chinchilla de Monte-Aragón		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02030	Elche de la Sierra	239,49	Elche de la Sierra		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02031	Férez	126,14	Férez		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02032	Fuensanta	23,96	Fuensanta		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02033	Fuente-Álamo	133,39	Fuente-Álamo		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02034	Fuentealbilla	108,29	Fuentealbilla		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02035	Gineta, La	136,75	Gineta, La		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02036	Golosalvo	28,18	Golosalvo		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02037	Hellín	781,19	Hellín		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02038	Herrera, La	63,40	Herrera, La		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02039	Higueruela	205,45	Higueruela		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02040	Hoya-Gonzalo	114,57	Hoya-Gonzalo		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02041	Jorquera	67,97	Jorquera		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02042	Letur	263,56	Letur		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02043	Lezuza	360,90	Lezuza		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02044	Liétor	311,57	Liétor		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02045	Madrigueras	73,31	Madrigueras		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02046	Mahora	108,14	Mahora		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02047	Masegoso	103,87	Masegoso		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02048	Minaya	69,83	Minaya		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02049	Molinicos	143,59	Molinicos		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02050	Montalvos	24,78	Montalvos		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02051	Montealegre del Castillo	177,79	Montealegre del Castillo		08	Castilla-La Mancha	02	Albacete	0203	Almansa
02052	Motilleja	23,82	Motilleja		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02053	Munera	229,43	Munera		08	Castilla-La Mancha	02	Albacete	0206	Villarrobledo
02054	Navas de Jorquera	42,26	Navas de Jorquera		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02055	Nerpio	435,78	Nerpio		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02056	Ontur	54,38	Ontur		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02057	Ossa de Montiel	243,50	Ossa de Montiel		08	Castilla-La Mancha	02	Albacete	0206	Villarrobledo
02058	Paterna del Madera	112,34	Paterna del Madera		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02059	Peñascosa	189,26	Peñascosa		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02060	Peñas de San Pedro	158,75	Peñas de San Pedro		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02061	Pétrola	74,61	Pétrola		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02062	Povedilla	49,43	Povedilla		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02063	Pozohondo	136,54	Pozohondo		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02064	Pozo-Lorente	80,96	Pozo-Lorente		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02065	Pozuelo	133,78	Pozuelo		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02066	Recueja, La	29,74	Recueja, La		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02067	Riópar	80,92	Riópar		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02068	Robledo	120,08	Robledo		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02069	Roda, La	398,79	Roda, La		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02070	Salobre	49,53	Salobre		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02071	San Pedro	83,12	San Pedro		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02072	Socovos	138,61	Socovos		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02073	Tarazona de la Mancha	212,58	Tarazona de la Mancha		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02074	Tobarra	324,96	Tobarra		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02075	Valdeganga	70,76	Valdeganga		08	Castilla-La Mancha	02	Albacete	0201	Albacete
02076	Vianos	128,04	Vianos		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02077	Villa de Ves	57,54	Villa de Ves		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02078	Villalgordo del Júcar	46,68	Villalgordo del Júcar		08	Castilla-La Mancha	02	Albacete	0205	Roda, La
02079	Villamalea	127,99	Villamalea		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02080	Villapalacios	87,48	Villapalacios		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02081	Villarrobledo	862,41	Villarrobledo		08	Castilla-La Mancha	02	Albacete	0206	Villarrobledo
02082	Villatoya	18,82	Villatoya		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02083	Villavaliente	34,84	Villavaliente		08	Castilla-La Mancha	02	Albacete	0207	Casas-Ibáñez
02084	Villaverde de Guadalimar	69,08	Villaverde de Guadalimar		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02085	Viveros	65,37	Viveros		08	Castilla-La Mancha	02	Albacete	0202	Alcaraz
02086	Yeste	511,22	Yeste		08	Castilla-La Mancha	02	Albacete	0204	Hellín
02901	Pozo Cañada	117,16	Pozo Cañada	2000	08	Castilla-La Mancha	02	Albacete	0201	Albacete
03001	Adsubia	14,67	Adsubia		10	Comunidad Valenciana	03	Alicante/Alacant	0301	Dénia
03002	Agost	66,64	Agost		10	Comunidad Valenciana	03	Alicante/Alacant	0311	Novelda
03003	Agres	25,84	Agres		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03004	Aigües	18,47	Aigües		10	Comunidad Valenciana	03	Alicante/Alacant	0310	San Vicente del Raspeig
03005	Albatera	61,54	Albatera		10	Comunidad Valenciana	03	Alicante/Alacant	0304	Orihuela
03006	Alcalalí	14,40	Alcalalí		10	Comunidad Valenciana	03	Alicante/Alacant	0301	Dénia
03007	Alcocer de Planes	4,39	Alcocer de Planes		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03008	Alcoleja	14,56	Alcoleja		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03009	Alcoy/Alcoi	129,86	Alcoy/Alcoi		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03010	Alfafara	19,78	Alfafara		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03011	Alfàs del Pi, l	19,26	Alfàs del Pi, l		10	Comunidad Valenciana	03	Alicante/Alacant	0309	Benidorm
03012	Algorfa	18,36	Algorfa		10	Comunidad Valenciana	03	Alicante/Alacant	0304	Orihuela
03013	Algueña	18,43	Algueña		10	Comunidad Valenciana	03	Alicante/Alacant	0311	Novelda
03014	Alacant/Alicante	201,27	Alacant/Alicante		10	Comunidad Valenciana	03	Alicante/Alacant	0303	Alicante
03015	Almoradí	42,72	Almoradí		10	Comunidad Valenciana	03	Alicante/Alacant	0304	Orihuela
03016	Almudaina	8,82	Almudaina		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03017	Alqueria dAsnar, l	1,08	Alqueria dAsnar, l		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03018	Altea	34,43	Altea		10	Comunidad Valenciana	03	Alicante/Alacant	0309	Benidorm
03019	Aspe	70,90	Aspe		10	Comunidad Valenciana	03	Alicante/Alacant	0311	Novelda
03020	Balones	11,25	Balones		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03021	Banyeres de Mariola	50,28	Banyeres de Mariola		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03022	Benasau	9,04	Benasau		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03023	Beneixama	34,89	Beneixama		10	Comunidad Valenciana	03	Alicante/Alacant	0307	Villena
03024	Benejúzar	9,33	Benejúzar		10	Comunidad Valenciana	03	Alicante/Alacant	0304	Orihuela
03025	Benferri	12,36	Benferri		10	Comunidad Valenciana	03	Alicante/Alacant	0304	Orihuela
03026	Beniarbeig	7,40	Beniarbeig		10	Comunidad Valenciana	03	Alicante/Alacant	0301	Dénia
03027	Beniardá	15,74	Beniardá		10	Comunidad Valenciana	03	Alicante/Alacant	0305	Villajoyosa
03028	Beniarrés	20,21	Beniarrés		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
03029	Benigembla	18,45	Benigembla		10	Comunidad Valenciana	03	Alicante/Alacant	0301	Dénia
03030	Benidoleig	7,49	Benidoleig		10	Comunidad Valenciana	03	Alicante/Alacant	0301	Dénia
03031	Benidorm	38,51	Benidorm		10	Comunidad Valenciana	03	Alicante/Alacant	0309	Benidorm
03032	Benifallim	13,69	Benifallim		10	Comunidad Valenciana	03	Alicante/Alacant	0302	Alcoy
